"Search Parameters"	"Volcano Number"	"Volcano Name"	"Country"	"Location"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"Status"	"Last Known Eruption"
	255070	"Savo"	"Solomon Is."	"Solomon Is-SW Pacifi"	-9.13	159.82	485	"Stratovolcano"	"Historical"	"D3"
	255050	"Simbo"	"Solomon Is."	"Solomon Is-SW Pacifi"	-8.292	156.52	335	"Stratovolcano"	"Uncertain"	"Unknown"
	255061	"Unnamed"	"Solomon Is."	"Solomon Is-SW Pacifi"	-8.92	158.03	-240	"Submarine volcanoes"	"Holocene"	"U"
	210040	"Calatrava Volcanic Field"	"Spain"	"Spain"	38.87	-4.02	1117	"Pyroclastic cones"	"Radiocarbon"	"D7"
	210030	"Olot Volcanic Field"	"Spain"	"Spain"	42.17	2.53	893	"Pyroclastic cone"	"Holocene"	"Unknown"
	266020	"Ambang"	"Indonesia"	"Sulawesi-Indonesia"	0.75	124.42	1795	"Complex volcano"	"Historical"	"D3"
	266010	"Colo"	"Indonesia"	"Sulawesi-Indonesia"	-0.162	121.601	404	"Stratovolcano"	"Historical"	"D1"
	266120	"Klabat"	"Indonesia"	"Sulawesi-Indonesia"	1.454	125.031	1968	"Stratovolcano"	"Fumarolic"	"U"
	266100	"Lokon-Empung"	"Indonesia"	"Sulawesi-Indonesia"	1.358	124.792	1580	"Stratovolcano"	"Historical"	"D1"
	266110	"Mahawu"	"Indonesia"	"Sulawesi-Indonesia"	1.352	124.865	1299	"Stratovolcano"	"Historical"	"D1"
	266040	"Riendengan-Sempu"	"Indonesia"	"Sulawesi-Indonesia"	1.13	124.758	1549	"Caldera"	"Fumarolic"	"U"
	266030	"Soputan"	"Indonesia"	"Sulawesi-Indonesia"	1.112	124.737	1785	"Stratovolcano"	"Historical"	"D1"
	266130	"Tangkoko-Duasudara"	"Indonesia"	"Sulawesi-Indonesia"	1.518	125.185	1334	"Stratovolcano"	"Historical"	"D3"
	266070	"Tondano Caldera"	"Indonesia"	"Sulawesi-Indonesia"	1.23	124.83	1202	"Caldera"	"Fumarolic"	"U"
		"Bud Dajo"	"Philippines"	"Sulu Is-Philippines"	5.95	121.07	440	"Pyroclastic cone"	"Historical"	"D3"
		"Besar"	"Indonesia"	"Sumatra"	-4.43	103.67	1899	"Stratovolcano"	"Historical"	"D2"
	261210	"Daun, Bukit"	"Indonesia"	"Sumatra"	-3.38	102.37	2467	"Stratovolcano"	"Fumarolic"	"U"
	261230	"Dempo"	"Indonesia"	"Sumatra"	-4.016	103.121	3142	"Stratovolcano"	"Historical"	"D1"
	261280	"Hulubelu"	"Indonesia"	"Sumatra"	-5.334	104.59	849	"Caldera"	"Fumarolic"	"U"
	261200	"Hululais"	"Indonesia"	"Sumatra"	-3.247	102.239	2122	"Compound volcano"	"Fumarolic"	"U"
		"Hutapanjang"	"Indonesia"	"Sumatra"	-2.33	101.6	2021	"Stratovolcano"	"Holocene"	"U"
		"Hutapanjang"	"Indonesia"	"Sumatra"	-2.333	101.6	2021	"Stratovolcano"	"Holocene"	"U"
		"Imun"	"Indonesia"	"Sumatra"	2.15	98.93	1505	"Unknown"	"Holocene"	"Unknown"
	261220	"Kaba"	"Indonesia"	"Sumatra"	-3.522	102.615	1940	"Stratovolcano"	"Historical"	"D2"
	261170	"Kerinci"	"Indonesia"	"Sumatra"	-1.697	101.264	3800	"Stratovolcano"	"Historical"	"D1"
	261111	"Lubukraya"	"Indonesia"	"Sumatra"	1.478	99.209	1862	"Stratovolcano"	"Holocene"	"Unknown"
		"Lumut Balai, Bukit"	"Indonesia"	"Sumatra"	-4.22	103.62	2055	"Stratovolcano"	"Fumarolic"	"U"
	261121	"Malintang"	"Indonesia"	"Sumatra"	0.47	99.67	1983	"Stratovolcano"	"Holocene"	"U"
	261140	"Marapi"	"Indonesia"	"Sumatra"	-0.38	100.474	2885	"Complex volcano"	"Historical"	"D1"
	261231	"Patah"	"Indonesia"	"Sumatra"	-4.257	103.306	2836	"Unknown"	"Uncertain"	"Unknown"
		"Pendan"	"Indonesia"	"Sumatra"	-2.82	102.02	0	"Unknown"	"Holocene"	"U"
	261030	"Peuet Sague"	"Indonesia"	"Sumatra"	4.903	96.289	2785	"Complex volcano"	"Historical"	"D1"
	261290	"Rajabasa"	"Indonesia"	"Sumatra"	-5.78	105.625	1281	"Stratovolcano"	"Fumarolic"	"U"
	261251	"Ranau"	"Indonesia"	"Sumatra"	-4.871	103.925	1854	"Caldera"	"Holocene"	"Unknown"
	261131	"Sarik-Gajah"	"Indonesia"	"Sumatra"	0.074	100.189	737	"Pyroclastic cone"	"Holocene"	"Unknown"
	261260	"Sekincau Belirang"	"Indonesia"	"Sumatra"	-5.107	104.317	1717	"Caldera"	"Fumarolic"	"U"
	261020	"Seulawah Agam"	"Indonesia"	"Sumatra"	5.448	95.658	1810	"Stratovolcano"	"Historical"	"D3"
	261110	"Sibualbuali"	"Indonesia"	"Sumatra"	1.556	99.255	1819	"Stratovolcano"	"Holocene"	"Unknown"
	261080	"Sinabung"	"Indonesia"	"Sumatra"	3.17	98.392	2460	"Stratovolcano"	"Holocene"	"U"
	261070	"Singkut"	"Indonesia"	"Sumatra"	3.238	98.513	2181	"Stratovolcano"	"Historical"	"D3"
	261120	"Sorikmarapi"	"Indonesia"	"Sumatra"	0.686	99.539	2145	"Stratovolcano"	"Historical"	"D1"
	261180	"Sumbing"	"Indonesia"	"Sumatra"	-2.414	101.728	2507	"Stratovolcano"	"Historical"	"D2"
	261270	"Suoh"	"Indonesia"	"Sumatra"	-5.25	104.27	1000	"Maar"	"Historical"	"D2"
	261130	"Talakmau"	"Indonesia"	"Sumatra"	0.079	99.98	2919	"Complex volcano"	"Holocene"	"U"
	261160	"Talang"	"Indonesia"	"Sumatra"	-0.979	100.681	2575	"Stratovolcano"	"Historical"	"D1"
	261150	"Tandikat-Singgalang"	"Indonesia"	"Sumatra"	-0.39	100.331	2854	"Stratovolcano"	"Historical"	"D2"
	261050	"Telong, Bur ni"	"Indonesia"	"Sumatra"	4.769	96.821	2617	"Stratovolcano"	"Historical"	"D2"
	261090	"Toba"	"Indonesia"	"Sumatra"	2.608	98.842	2157	"Caldera"	"Holocene"	"U"
	258020	"Hunter Island"	"Pacific Ocean"	"SW Pacific"	-22.4	172.05	297	"Stratovolcano"	"Historical"	"D2"
	258010	"Matthew Island"	"Pacific Ocean"	"SW Pacific"	-22.33	171.32	177	"Stratovolcano"	"Historical"	"D2"
		"Unnamed"	"Pacific Ocean"	"SW Pacific"	-25.78	168.63	-2400	"Submarine volcano"	"Hydrophonic"	"D1"
	258001	"Gemini-Oscostar"	"Vanuatu"	"SW Pacific"	-20.957	170.13	-33	"Submarine volcano"	"Historical"	"D1"
	244050	"Wallis Islands"	"Wallis & Futuna"	"SW Pacific"	-13.3	-176.17	143	"Shield volcano"	"Holocene"	"U"
		"Es Safa"	"Syria"	"Syria"	33.08	37.15	979	"Volcanic field"	"Historical"	"D3"
	230010	"Sharat Kovakab"	"Syria"	"Syria"	36.536	40.858	516	"Volcanic field"	"Holocene"	"U"
		"Unnamed"	"Syria"	"Syria"	36.67	37	0	"Unknown"	"Historical"	"D6"
		"Unnamed"	"Syria"	"Syria"	33.308	36.925	945	"Volcanic field"	"Holocene"	"U"
		"Unnamed"	"Syria"	"Syria"	33.15	36.258	1197	"Volcanic field"	"Holocene"	"U"
		"Unnamed"	"Syria"	"Syria"	32.658	36.425	1436	"Volcanic field"	"Holocene"	"U"
	281032	"Tatun Volcanic Group"	"China"	"Taiwan"	25.178	121.553	1120	"Stratovolcano"	"Pleistocene-Fumarol"	"Q"
	281031	"Kueishantao"	"Taiwan"	"Taiwan"	24.841	121.953	361	"Stratovolcano"	"Pleistocene-Fumarol"	"Q"
		"Unnamed"	"Taiwan"	"Taiwan-E of"	20.93	134.75	-6000	"Submarine volcano"	"Uncertain"	"Unknown"
	281020	"Unnamed"	"Taiwan"	"Taiwan-E of"	21.83	121.18	-115	"Submarine volcano"	"Historical"	"D3"
	281030	"Unnamed"	"Taiwan"	"Taiwan-E of"	24	121.83	0	"Submarine volcano"	"Historical"	"D3"
		"Unnamed"	"Taiwan"	"Taiwan-E of"	19.17	132.25	-10	"Submarine volcano"	"Uncertain"	"Unknown"
		"Unnamed"	"Taiwan"	"Taiwan-N of"	25.42	122.33	-100	"Submarine volcano"	"Historical"	"D3"
		"Zengyu"	"Taiwan"	"Taiwan-N of"	26.18	122.458	-418	"Submarine volcano"	"Historical"	"D2"
	243102	"Curacoa"	"Tonga"	"Tonga-SW Pacific"	-15.62	-173.67	-33	"Submarine volcano"	"Historical"	"D2"
	243111	"Dugong"	"Tonga"	"Tonga-SW Pacific"	-15.431	-175.725	-1170	"Submarine"		"Unknown"
	243050	"Fonuafo'ou"	"Tonga"	"Tonga-SW Pacific"	-20.32	-175.42	-17	"Submarine volcano"	"Historical"	"D2"
	243100	"Fonualei"	"Tonga"	"Tonga-SW Pacific"	-18.023	-174.317	188	"Stratovolcano"	"Historical"	"D2"
	243080	"Home Reef"	"Tonga"	"Tonga-SW Pacific"	-18.992	-174.775	-10	"Submarine volcano"	"Historical"	"D1"
	243040	"Hunga Tonga-Hunga Ha'apai"	"Tonga"	"Tonga-SW Pacific"	-20.553	-175.384	114	"Submarine volcano"	"Historical"	"D1"
	243061	"Kao"	"Tonga"	"Tonga-SW Pacific"	-19.668	-175.016	1009	"Stratovolcano"	"Holocene"	"U"
	243090	"Late"	"Tonga"	"Tonga-SW Pacific"	-18.806	-174.65	540	"Stratovolcano"	"Historical"	"D3"
	243070	"Lateiki"	"Tonga"	"Tonga-SW Pacific"	-19.18	-174.87	43	"Submarine volcano"	"Historical"	"D1"
	243112	"Lobster"	"Tonga"	"Tonga-SW Pacific"	-15.333	-176.283	-1500	"Submarine"		"Unknown"
	243110	"Niuafo'ou"	"Tonga"	"Tonga-SW Pacific"	-15.6	-175.63	260	"Shield volcano"	"Historical"	"D1"
	243140	"Niuatahi"	"Tonga"	"Tonga-SW Pacific"	-15.379	-174.003	-1270	"Caldera"		"Unknown"
	243101	"Tafahi"	"Tonga"	"Tonga-SW Pacific"	-15.85	-173.72	546	"Submarine volcano"	"Historical"	"D1"
	243120	"Tafu-Maka"	"Tonga"	"Tonga-SW Pacific"	-15.37	-174.23	-1400	"Submarine volcano"	"Historical"	"D1"
	243060	"Tofua"	"Tonga"	"Tonga-SW Pacific"	-19.75	-175.07	515	"Caldera"	"Historical"	"D2"
	243010	"Unnamed"	"Tonga"	"Tonga-SW Pacific"	-21.338	-175.65	-68	"Submarine volcano"	"Historical"	"D2"
		"Unnamed"	"Tonga"	"Tonga-SW Pacific"	-21.07	-175.33	0	"Not Volcanic"	"Historical"	"D2"
	243030	"Unnamed"	"Tonga"	"Tonga-SW Pacific"	-20.852	-175.55	-296	"Submarine volcano"	"Historical"	"D1"
	243001	"Unnamed"	"Tonga"	"Tonga-SW Pacific"	-24.8	-177.02	-385	"Submarine volcano"	"Fumarolic"	"U"
	243011	"Unnamed"	"Tonga"	"Tonga-SW Pacific"	-21.15	-175.75	-65	"Submarine volcano"	"Holocene"	"U"
	243091	"Unnamed"	"Tonga"	"Tonga-SW Pacific"	-18.325	-174.365	-40	"Submarine volcano"	"Historical"	"D1"
	243130	"West Mata"	"Tonga"	"Tonga-SW Pacific"	-15.1	-173.75	-1174	"Submarine volcano"	"Historical"	"D1"
		"Piparo"	"Trinidad"	"Trinidad"	10	-61	140	"Mud volcano"	"Historical"	"D1"
	213004	"Acigol-Nevsehir"	"Turkey"	"Turkey"	38.537	34.621	1683	"Maar"	"Holocene"	"U"
	213040	"Ararat"	"Turkey"	"Turkey"	39.7	44.3	5165	"Stratovolcano"	"Holocene"	"U"
	213010	"Erciyes Volcanic Complex"	"Turkey"	"Turkey"	38.531	35.447	3864	"Stratovolcano"	"Holocene"	"U"
		"Girekol"	"Turkey"	"Turkey"	39.17	43.33	0	"Unknown"	"Holocene"	"U"
	213003	"Gollu Dag"	"Turkey"	"Turkey"	38.25	34.57	2143	"Lava dome"	"Holocene"	"U"
	213002	"Hasandag-Keciboyduran"	"Turkey"	"Turkey"	38.13	34.17	3253	"Stratovolcano"	"Holocene"	"U"
	213011	"Karaca Dag"	"Turkey"	"Turkey"	37.67	39.83	1957	"Shield volcano"	"Holocene"	"U"
	213001	"Karapinar Field"	"Turkey"	"Turkey"	37.667	33.6	1302	"Cinder cone"	"Holocene"	"D7"
		"Kars Plateau"	"Turkey"	"Turkey"	40.75	42.9	3000	"Volcanic field"	"Holocene"	"Unknown"
	213000	"Kula"	"Turkey"	"Turkey"	38.58	28.52	750	"Cinder cone"	"Holocene"	"U"
	213020	"Nemrut Dagi"	"Turkey"	"Turkey"	38.654	42.229	2948	"Stratovolcano"	"Historical"	"D6"
		"Suphan Dagi"	"Turkey"	"Turkey"	38.92	42.82	4434	"Stratovolcano"	"Holocene"	"U"
	213030	"Tenduruk Dagi"	"Turkey"	"Turkey"	39.356	43.874	3514	"Shield volcano"	"Holocene"	"U"
	329020	"San Francisco Volcanic Field"	"United States"	"US-Arizona"	35.347	-111.678	3850	"Cinder cone"	"Dendrochronology"	"D6"
	329010	"Uinkaret Field"	"United States"	"US-Arizona"	36.38	-113.13	1555	"Volcanic field"	"Holocene"	"U"
		"Big Cave"	"United States"	"US-California"	40.955	-121.365	1259	"Shield volcano"	"Holocene"	"Unknown"
		"Brushy Butte"	"United States"	"US-California"	41.178	-121.443	1174	"Shield volcano"	"Holocene"	"Unknown"
	323100	"Clear Lake Volcanic Field"	"United States"	"US-California"	38.97	-122.77	1439	"Volcanic field"	"Holocene"	"U"
		"Coso Volc Field"	"United States"	"US-California"	36.03	-117.82	2400	"Lava dome"	"Holocene"	"Unknown"
		"Eagle Lake Field"	"United States"	"US-California"	40.63	-120.83	1652	"Fissure vent"	"Holocene"	"Unknown"
	323170	"Golden Trout Creek"	"United States"	"US-California"	36.358	-118.32	2886	"Volcanic field"	"Tephrochronology"	"D7"
		"Inyo Craters"	"United States"	"US-California"	37.692	-119.02	2629	"Lava dome"	"Radiocarbon"	"D6"
	323080	"Lassen Volcanic Center"	"United States"	"US-California"	40.492	-121.508	3187	"Stratovolcano"	"Historical"	"D2"
		"Lavic Lake"	"United States"	"US-California"	34.75	-116.625	1495	"Volcanic field"	"Holocene"	"U"
	323150	"Mammoth Mountain"	"United States"	"US-California"	37.631	-119.032	3369	"Cinder cone"	"Holocene"	"U"
	323020	"Medicine Lake"	"United States"	"US-California"	41.611	-121.554	2412	"Shield volcano"	"Radiocarbon"	"D6"
	323110	"Mono Lake Volcanic Field"	"United States"	"US-California"	38	-119.03	2121	"Cinder cone"	"Tephrochronology"	"D4"
	323120	"Mono-Inyo Craters"	"United States"	"US-California"	37.804	-119.029	2796	"Lava dome"	"Radiocarbon"	"D6"
	323200	"Salton Buttes"	"United States"	"US-California"	33.197	-115.616	-40	"Cinder cone"	"Holocene"	"U"
	323010	"Shasta"	"United States"	"US-California"	41.409	-122.193	4317	"Stratovolcano"	"Historical"	"D4"
		"Tumble Buttes"	"United States"	"US-California"	40.68	-121.55	2191	"Cinder cone"	"Holocene"	"Unknown"
		"Twin Buttes"	"United States"	"US-California"	40.78	-121.6	1631	"Cinder cone"	"Holocene"	"Unknown"
	323160	"Ubehebe Craters"	"United States"	"US-California"	37.02	-117.45	752	"Maar"	"Holocene"	"U"
	328010	"Dotsero"	"United States"	"US-Colorado"	39.661	-107.036	2230	"Maar"	"Radiocarbon"	"D7"
	324010	"Black Butte Crater Lava Field"	"United States"	"US-Idaho"	43.183	-114.352	1478	"Cinder cone"	"Holocene"	"Unknown"
	324020	"Craters of the Moon"	"United States"	"US-Idaho"	43.371	-113.493	2005	"Cinder cone"	"Radiocarbon"	"D7"
	324040	"Hell's Half Acre"	"United States"	"US-Idaho"	43.492	-112.45	1632	"Shield volcano"	"Radiocarbon"	"D7"
	324030	"Wapi Lava Field"	"United States"	"US-Idaho"	42.886	-113.217	1597	"Shield volcano"	"Radiocarbon"	"D7"
	326010	"Soda Lakes"	"United States"	"US-Nevada"	39.525	-118.878	1251	"Lava dome"	"Pleistocene-Fumarol"	"Q"
	327110	"Carrizozo"	"United States"	"US-New Mexico"	33.78	-105.93	1731	"Cinder cone"	"Holocene"	"U"
	327812	"Red Hill"	"United States"	"US-New Mexico"	34.25	-108.83	2300	"Volcanic field"		"D7"
	327120	"Zuni-Bandera"	"United States"	"US-New Mexico"	34.8	-108	2550	"Volcanic field"	"Anthropology"	"D7"
	322090	"Bachelor"	"United States"	"US-Oregon"	43.979	-121.688	2763	"Stratovolcano"	"Tephrochronology"	"D7"
	322060	"Belknap"	"United States"	"US-Oregon"	44.285	-121.841	2095	"Shield volcano"	"Radiocarbon"	"D6"
	322030	"Blue Lake Crater"	"United States"	"US-Oregon"	44.413	-121.769	1136	"Maar"	"Radiocarbon"	"D7"
	322150	"Cinnamon Butte"	"United States"	"US-Oregon"	43.241	-122.111	1958	"Cinder cone"	"Holocene"	"Unknown"
	322160	"Crater Lake"	"United States"	"US-Oregon"	42.942	-122.107	2487	"Caldera"	"Radiocarbon"	"D7"
	322100	"Davis Lake"	"United States"	"US-Oregon"	43.57	-121.82	2163	"Volcanic field"	"Radiocarbon"	"D7"
	322120	"Devils Garden"	"United States"	"US-Oregon"	43.512	-120.861	1698	"Volcanic field"	"Holocene"	"Unknown"
	322170	"Diamond Craters"	"United States"	"US-Oregon"	43.1	-118.75	1435	"Volcanic field"	"Holocene"	"Unknown"
		"Four Craters Lava Field"	"United States"	"US-Oregon"	43.361	-120.669	1501	"Volcanic field"	"Holocene"	"Unknown"
	322010	"Hood"	"United States"	"US-Oregon"	45.374	-121.695	3426	"Stratovolcano"	"Historical"	"D3"
	322020	"Jefferson"	"United States"	"US-Oregon"	44.674	-121.8	3199	"Stratovolcano"	"Varve Count"	"D6"
	322190	"Jordan Craters"	"United States"	"US-Oregon"	43.147	-117.46	1473	"Volcanic field"	"Holocene"	"U"
	322110	"Newberry"	"United States"	"US-Oregon"	43.722	-121.229	2434	"Shield volcano"	"Radiocarbon"	"D6"
	322040	"Sand Mountain Field"	"United States"	"US-Oregon"	44.38	-121.93	1664	"Cinder cone"	"Radiocarbon"	"D7"
		"South Sister"	"United States"	"US-Oregon"	44.1	-121.77	3157	"Complex volcano"	"Radiocarbon"	"D7"
		"Squaw Ridge Field"	"United States"	"US-Oregon"	43.472	-120.754	1711	"Volcanic field"	"Holocene"	"Unknown"
	322070	"Three Sisters"	"United States"	"US-Oregon"	44.133	-121.767	3159	"Complex volcano"	"Radiocarbon"	"D6"
		"Bald Knoll"	"United States"	"US-Utah"	37.328	-112.408	2135	"Cinder cone"	"Holocene"	"Unknown"
	327050	"Black Rock Desert"	"United States"	"US-Utah"	38.97	-112.5	1800	"Volcanic field"	"Radiocarbon"	"D6"
	327040	"Markagunt Plateau"	"United States"	"US-Utah"	37.58	-112.67	2840	"Volcanic field"	"Dendrochronology"	"D6"
		"Santa Clara"	"United States"	"US-Utah"	37.257	-113.625	1465	"Volcanic field"	"Holocene"	"U"
	321040	"Adams"	"United States"	"US-Washington"	46.206	-121.49	3742	"Stratovolcano"	"Tephrochronology"	"D6"
	321010	"Baker"	"United States"	"US-Washington"	48.777	-121.813	3285	"Stratovolcano"	"Historical"	"D3"
	321020	"Glacier Peak"	"United States"	"US-Washington"	48.112	-121.113	3213	"Stratovolcano"	"Tephrochronology"	"D4"
	321070	"Indian Heaven"	"United States"	"US-Washington"	45.93	-121.82	1806	"Shield volcano"	"Radiocarbon"	"D7"
	321030	"Rainier"	"United States"	"US-Washington"	46.853	-121.76	4392	"Stratovolcano"	"Dendrochronology"	"D3"
	321050	"St. Helens"	"United States"	"US-Washington"	46.2	-122.18	2549	"Stratovolcano"	"Historical"	"D1"
	321060	"West Crater"	"United States"	"US-Washington"	45.88	-122.08	1329	"Volcanic field"	"Radiocarbon"	"D7"
	325010	"Yellowstone"	"United States"	"US-Wyoming"	44.43	-110.67	2805	"Caldera"	"Tephrochronology"	"D7"
	257030	"Ambae"	"Vanuatu"	"Vanuatu-SW Pacific"	-15.389	167.835	1496	"Shield volcano"	"Historical"	"D1"
	257040	"Ambrym"	"Vanuatu"	"Vanuatu-SW Pacific"	-16.25	168.12	1334	"Pyroclastic shield"	"Historical"	"D1"
	257110	"Aneityum"	"Vanuatu"	"Vanuatu-SW Pacific"	-20.2	169.78	852	"Stratovolcano"	"Holocene"	"Unknown"
	257060	"East Epi"	"Vanuatu"	"Vanuatu-SW Pacific"	-16.68	168.389	833	"Stratovolcano"	"Historical"	"D1"
	257020	"Gaua"	"Vanuatu"	"Vanuatu-SW Pacific"	-14.281	167.514	729	"Stratovolcano"	"Historical"	"D1"
	257070	"Kuwae"	"Vanuatu"	"Vanuatu-SW Pacific"	-16.83	168.523	-2	"Caldera"	"Historical"	"D1"
	257050	"Lopevi"	"Vanuatu"	"Vanuatu-SW Pacific"	-16.507	168.346	1413	"Stratovolcano"	"Historical"	"D1"
	257021	"Mere Lava"	"Vanuatu"	"Vanuatu-SW Pacific"	-14.45	168.05	1028	"Stratovolcano"	"Holocene"	"U"
	257001	"Motlav"	"Vanuatu"	"Vanuatu-SW Pacific"	-13.67	167.67	411	"Stratovolcano"	"Holocene"	"U"
	257080	"NE Shepherd Islands"	"Vanuatu"	"Vanuatu-SW Pacific"	-16.992	168.592	216	"Stratovolcano"	"Holocene"	"Unknown"
	257081	"Nguna-Emau"	"Vanuatu"	"Vanuatu-SW Pacific"	-17.452	168.353	589	"Stratovolcano"	"Holocene"	"U"
	257010	"Suretamatai"	"Vanuatu"	"Vanuatu-SW Pacific"	-13.8	167.47	921	"Complex volcano"	"Historical"	"D1"
	257090	"Traitor's Head"	"Vanuatu"	"Vanuatu-SW Pacific"	-18.754	169.238	817	"Stratovolcano"	"Historical"	"D3"
	257100	"Yasur"	"Vanuatu"	"Vanuatu-SW Pacific"	-19.532	169.447	361	"Stratovolcano"	"Historical"	"D1"
	284137	"Daikoku"	"Japan"	"Volcano Is-Japan"	21.324	144.194	-323	"Submarine volcano"	"Fumarolic"	"U"
	284133	"Fukujin"	"Japan"	"Volcano Is-Japan"	21.93	143.47	-217	"Submarine volcano"	"Historical"	"D1"
	284130	"Fukutoku-Oka-no-Ba"	"Japan"	"Volcano Is-Japan"	24.285	141.481	-29	"Submarine volcano"	"Historical"	"D1"
	284120	"Ioto"	"Japan"	"Volcano Is-Japan"	24.751	141.289	169	"Caldera"	"Historical"	"D1"
	284097	"Kaikata Seamount"	"Japan"	"Volcano Is-Japan"	26.667	140.929	-165	"Submarine volcano"	"Fumarolic"	"U"
	284100	"Kaitoku Seamount"	"Japan"	"Volcano Is-Japan"	26.122	141.096	-95	"Submarine volcano"	"Historical"	"D1"
	284134	"Kasuga 1"	"Japan"	"Volcano Is-Japan"	21.765	143.71	-598	"Submarine volcano"	"Uncertain"	"Unknown"
	284121	"Kita-Fukutokutai"	"Japan"	"Volcano Is-Japan"	24.417	141.417	-73	"Submarine volcano"	"Holocene"	"U1"
	284110	"Kita-Ioto"	"Japan"	"Volcano Is-Japan"	25.424	141.284	792	"Stratovolcano"	"Historical"	"D2"
	284131	"Minami-Hiyoshi"	"Japan"	"Volcano Is-Japan"	23.5	141.935	-107	"Submarine volcano"	"Historical"	"D1"
	284132	"Nikko"	"Japan"	"Volcano Is-Japan"	23.078	142.326	-392	"Submarine volcano"	"Uncertain"	"Unknown"
	284096	"Nishinoshima"	"Japan"	"Volcano Is-Japan"	27.247	140.874	100	"Caldera"	"Historical"	"D2"
	284093	"Suiyo Seamount"	"Japan"	"Volcano Is-Japan"	28.575	140.633	-991	"Submarine volcano"	"Uncertain"	"Unknown"
		"Unnamed"	"Japan"	"Volcano Is-Japan"	26.133	144.483	-3200	"Submarine volcano?"	"Uncertain"	"?"
	360080	"Diables, Morne aux"	"Dominica"	"W Indies"	15.612	-61.43	861	"Stratovolcano"	"Fumarolic"	"U"
	360090	"Diablotins, Morne"	"Dominica"	"W Indies"	15.503	-61.397	1430	"Stratovolcano"	"Holocene"	"U"
	360110	"Plat Pays, Morne"	"Dominica"	"W Indies"	15.255	-61.341	940	"Stratovolcano"	"Radiocarbon"	"D5"
	360100	"Trois Pitons, Morne"	"Dominica"	"W Indies"	15.37	-61.33	1387	"Lava dome"	"Historical"	"D3"
	360101	"Watt, Morne"	"Dominica"	"W Indies"	15.307	-61.305	1224	"Stratovolcanoes"	"Historical"	"D2"
	360170	"St. Catherine"	"Grenada"	"W Indies"	12.15	-61.67	840	"Stratovolcano"	"Holocene"	"U"
	360060	"Soufriere Guadeloupe"	"Guadeloupe"	"W Indies"	16.044	-61.664	1467	"Stratovolcano"	"Historical"	"D1"
	360120	"Pelee"	"Martinique"	"W Indies"	14.809	-61.166	1372	"Stratovolcano"	"Historical"	"D2"
	360050	"Soufriere Hills"	"Montserrat"	"W Indies"	16.72	-62.18	915	"Stratovolcano"	"Historical"	"D1"
	360160	"Kick 'em Jenny"	"Netherlands"	"W Indies"	12.3	-61.64	-185	"Submarine volcano"	"Historical"	"D1"
	360040	"Nevis Peak"	"Netherlands"	"W Indies"	17.15	-62.58	985	"Stratovolcano"	"Holocene"	"U"
	360020	"Quill, The"	"Netherlands"	"W Indies"	17.478	-62.96	601	"Stratovolcano"	"Radiocarbon"	"D6"
	360010	"Saba"	"Netherlands"	"W Indies"	17.63	-63.23	887	"Stratovolcano"	"Historical"	"D5"
		"Unnamed"	"Netherlands"	"W Indies"	16.13	-61.28	-7	"Submarine volcano"	"Historical"	"D3"
	360030	"Liamuiga"	"St. Kitts & Nevis"	"W Indies"	17.37	-62.8	1156	"Stratovolcano"	"Radiocarbon"	"D6"
	360140	"Qualibou"	"St. Lucia"	"W Indies"	13.83	-61.05	777	"Caldera"	"Historical"	"D4"
	360150	"Soufriere St. Vincent"	"St. Vincent & the Grenadines"	"W Indies"	13.33	-61.18	1220	"Stratovolcano"	"Historical"	"D1"
