Volcano Name,Country,Location,Latitude,Longitude,Elevation (m),Last Known Eruption
Gorely,Russia,Kamchatka,52.555,158.036,1799.0,Active
Gorny Institute,Russia,Kamchatka,57.33,160.2,2125.0,Dormant
Ichinsky,Russia,Kamchatka,55.678,157.718,3596.0,Dormant
Iettunup,Russia,Kamchatka,58.4,161.08,1340.0,Dormant
Iktunup,Russia,Kamchatka,58.08,160.77,2300.0,Dormant
Iliinsky,Russia,Kamchatka,51.498,157.203,1555.0,Active
Kaileney,Russia,Kamchatka,57.8,160.67,1582.0,Dormant
Kambalny,Russia,Kamchatka,51.306,156.875,2116.0,Dormant
Kamen,Russia,Kamchatka,56.02,160.593,4585.0,Dormant
Karymsky,Russia,Kamchatka,54.049,159.443,1513.0,Active
Kebeney,Russia,Kamchatka,57.1,159.93,1527.0,Dormant
Kekurny,Russia,Kamchatka,56.4,158.85,1377.0,Dormant
Kell,Russia,Kamchatka,51.65,157.35,900.0,Dormant
Khangar,Russia,Kamchatka,54.761,157.407,1967.0,Dormant
Khodutka,Russia,Kamchatka,52.062,157.711,2039.0,Dormant
Kikhpinych,Russia,Kamchatka,54.489,160.251,1515.0,Active
Kinenin,Russia,Kamchatka,57.35,160.97,583.0,Active
Kizimen,Russia,Kamchatka,55.131,160.32,2334.0,Active
Klyuchevskoy,Russia,Kamchatka,56.056,160.642,4754.0,Active
Komarov,Russia,Kamchatka,55.033,160.725,2065.0,Dormant
Koryaksky,Russia,Kamchatka,53.321,158.712,3430.0,Active
Koshelev,Russia,Kamchatka,51.356,156.753,1822.0,Active
Kostakan,Russia,Kamchatka,53.833,158.052,1150.0,Dormant
Kozyrevsky,Russia,Kamchatka,55.58,158.38,2016.0,Dormant
Krainy,Russia,Kamchatka,56.37,159.03,1554.0,Dormant
Krasheninnikov,Russia,Kamchatka,54.596,160.27,1816.0,Active
Kronotsky,Russia,Kamchatka,54.753,160.533,3482.0,Active
Ksudach,Russia,Kamchatka,51.844,157.572,1079.0,Active
Kulkev,Russia,Kamchatka,56.37,158.37,915.0,Dormant
Kurile Lake,Russia,Kamchatka,51.45,157.12,81.0,Dormant
Leutongey,Russia,Kamchatka,57.306,159.827,1318.0,Dormant
Maly Payalpan,Russia,Kamchatka,55.82,157.98,1802.0,Dormant
Maly Semyachik,Russia,Kamchatka,54.135,159.674,1527.0,Active
Mashkovtsev,Russia,Kamchatka,51.1,156.72,503.0,Dormant
Mezhdusopochny,Russia,Kamchatka,57.47,160.25,1641.0,Dormant
Mutnovsky,Russia,Kamchatka,52.449,158.196,2288.0,Active
Nylgimelkin,Russia,Kamchatka,57.97,160.65,1764.0,Dormant
Olkoviy Volcanic Group,Russia,Kamchatka,52.02,157.53,681.0,Dormant
Opala,Russia,Kamchatka,52.543,157.339,2439.0,Active
Ostanets,Russia,Kamchatka,52.146,157.322,719.0,Dormant
Ostry,Russia,Kamchatka,58.18,160.82,2552.0,Dormant
Otdelniy,Russia,Kamchatka,52.221,157.435,814.0,Dormant
Ozernoy,Russia,Kamchatka,51.88,157.38,562.0,Dormant
Piratkovsky,Russia,Kamchatka,52.113,157.849,1322.0,Dormant
Plosky,Russia,Kamchatka,55.2,158.47,1236.0,Dormant
Plosky,Russia,Kamchatka,57.83,160.25,1255.0,Dormant
Pogranychny,Russia,Kamchatka,56.85,159.8,1427.0,Dormant
Romanovka,Russia,Kamchatka,55.65,158.8,1442.0,Dormant
Schmidt,Russia,Kamchatka,54.92,160.63,2020.0,Dormant
Sedanka Lava Field,Russia,Kamchatka,57.317,160.067,1399.0,Dormant
Severny,Russia,Kamchatka,58.28,160.87,1936.0,Dormant
Sheveluch,Russia,Kamchatka,56.653,161.36,3283.0,Active
Shisheika,Russia,Kamchatka,57.153,161.09,355.0,Dormant
Shishel,Russia,Kamchatka,57.45,160.37,2525.0,Dormant
Snegovoy,Russia,Kamchatka,58.2,160.97,2169.0,Dormant
Snezhniy,Russia,Kamchatka,58.02,160.8,2169.0,Dormant
Spokoiny,Russia,Kamchatka,58.13,160.82,2171.0,Dormant
Taunshits,Russia,Kamchatka,54.528,159.804,2301.0,Dormant
Terpuk,Russia,Kamchatka,57.2,159.83,765.0,Dormant
Titila,Russia,Kamchatka,57.406,160.108,1523.0,Dormant
Tolbachik,Russia,Kamchatka,55.832,160.326,3611.0,Active
Tolmachev Dol,Russia,Kamchatka,52.63,157.58,1021.0,Dormant
Tuzovsky,Russia,Kamchatka,57.32,159.967,1516.0,Dormant
Udina,Russia,Kamchatka,55.758,160.527,2886.0,Dormant
Uka,Russia,Kamchatka,57.706,160.59,1607.0,Dormant
Uksichan,Russia,Kamchatka,56.08,158.38,1692.0,Dormant
Unnamed,Russia,Kamchatka,56.82,158.95,1185.0,Dormant
Unnamed,Russia,Kamchatka,52.57,157.02,610.0,Dormant
Unnamed,Russia,Kamchatka,52.92,158.52,450.0,Dormant
Unnamed,Russia,Kamchatka,52.88,158.3,700.0,Dormant
Unnamed,Russia,Kamchatka,55.92,161.75,0.0,Dormant
Ushkovsky,Russia,Kamchatka,56.113,160.509,3943.0,Active
Uzon,Russia,Kamchatka,54.489,159.974,1617.0,Dormant
Veer,Russia,Kamchatka,53.753,158.448,520.0,Dormant
Verkhovoy,Russia,Kamchatka,56.52,159.53,1400.0,Dormant
Vilyuchinsky,Russia,Kamchatka,52.7,158.28,2173.0,Dormant
Visokiy,Russia,Kamchatka,52.435,157.933,1227.0,Dormant
Voyampolsky,Russia,Kamchatka,58.374,160.631,1103.0,Dormant
Vysoky,Russia,Kamchatka,55.064,160.765,2129.0,Dormant
Yavinsky,Russia,Kamchatka,51.533,156.629,646.0,Dormant
Zaozerny,Russia,Kamchatka,56.88,159.95,1349.0,Dormant
Zavaritsky,Russia,Kamchatka,53.905,158.385,1567.0,Dormant
Zheltovsky,Russia,Kamchatka,51.577,157.328,1926.0,Active
Zhupanovsky,Russia,Kamchatka,53.589,159.15,2899.0,Active
Zimina,Russia,Kamchatka,55.862,160.603,3057.0,Dormant
Curtis Island,New Zealand,Kermadec Is,-30.543,-178.556,47.0,Dormant
Macauley,New Zealand,Kermadec Is,-30.21,-178.475,238.0,Dormant
Raoul Island,New Zealand,Kermadec Is,-29.27,-177.92,516.0,Active
Ch'uga-ryong,North Korea,Korea,38.33,127.33,452.0,Dormant
Xianjindao,North Korea,Korea,41.33,128.0,0.0,Active
Halla,South Korea,Korea,33.361,126.53,1919.0,Active
Ulleungdo,South Korea,Korea,37.5,130.87,984.0,Dormant
Alaid,Russia,Kuril Is,50.861,155.565,2285.0,Active
Berutarubesan [Berutarube],Russia,Kuril Is,44.462,146.932,1221.0,Dormant
Chachadake [Tiatia],Russia,Kuril Is,44.353,146.252,1822.0,Active
Chikurachki,Russia,Kuril Is,50.324,155.461,1781.0,Active
Chirinkotan,Russia,Kuril Is,48.98,153.48,724.0,Active
Chirippusan [Chirip],Russia,Kuril Is,45.338,147.92,1587.0,Active
Chirpoi,Russia,Kuril Is,46.532,150.871,742.0,Active
Ebeko,Russia,Kuril Is,50.686,156.014,1103.0,Active
Ekarma,Russia,Kuril Is,48.958,153.93,1170.0,Active
Etorofu-Atosanupuri [Atosanupuri],Russia,Kuril Is,44.808,147.131,1206.0,Active
Etorofu-Yakeyama [Grozny Group],Russia,Kuril Is,45.012,147.871,1158.0,Active
Fuss Peak,Russia,Kuril Is,50.267,155.246,1742.0,Active
Goriaschaia Sopka,Russia,Kuril Is,46.83,151.75,891.0,Active
Hitokappu Volcano Group,Russia,Kuril Is,44.857,147.403,1610.0,Dormant
Ivao Group,Russia,Kuril Is,45.759,149.676,1426.0,Dormant
Karpinsky Group,Russia,Kuril Is,50.148,155.373,1326.0,Active
Ketoi,Russia,Kuril Is,47.35,152.475,1172.0,Active
Kharimkotan,Russia,Kuril Is,49.12,154.508,1145.0,Active
Kolokol Group,Russia,Kuril Is,46.042,150.083,1328.0,Active
Lomonosov Group,Russia,Kuril Is,50.25,155.43,1681.0,Dormant
Milna,Russia,Kuril Is,46.815,151.786,1504.0,Dormant
Moekeshiwan [Lvinaya Past],Russia,Kuril Is,44.608,146.994,528.0,Dormant
Moyorodake [Medvezhia],Russia,Kuril Is,45.389,148.838,1124.0,Active
Nemo Peak,Russia,Kuril Is,49.57,154.808,1018.0,Active
Odamoisan [Tebenkov],Russia,Kuril Is,45.028,147.918,1208.0,Dormant
Prevo Peak,Russia,Kuril Is,47.014,152.117,1360.0,Active
Raikoke,Russia,Kuril Is,48.292,153.25,551.0,Active
Rakkibetsudake [Demon],Russia,Kuril Is,45.5,148.85,1205.0,Dormant
Rasshua,Russia,Kuril Is,47.77,153.02,956.0,Active
Raususan [Mendeleev],Russia,Kuril Is,43.979,145.733,882.0,Active
Rucharuyama [Golets-Tornyi Group],Russia,Kuril Is,45.25,148.35,442.0,Dormant
Rudakov,Russia,Kuril Is,45.874,149.819,532.0,Dormant
Ruruidake [Smirnov],Russia,Kuril Is,44.454,146.139,1486.0,Dormant
Sarychev Peak,Russia,Kuril Is,48.092,153.2,1496.0,Active
Sashiusudake [Baransky],Russia,Kuril Is,45.1,148.019,1125.0,Active
Shirinki,Russia,Kuril Is,50.2,154.98,761.0,Dormant
Sinarka,Russia,Kuril Is,48.873,154.182,911.0,Active
Srednii,Russia,Kuril Is,47.586,152.893,36.0,Dormant
Tao-Rusyr Caldera,Russia,Kuril Is,49.34,154.725,1272.0,Active
Tomariyama [Golovnin],Russia,Kuril Is,43.844,145.504,535.0,Active
Tri Sestry,Russia,Kuril Is,45.93,149.92,998.0,Dormant
Uratman,Russia,Kuril Is,47.12,152.25,678.0,Dormant
Ushishur,Russia,Kuril Is,47.513,152.814,357.0,Active
Vernadskii Ridge,Russia,Kuril Is,50.55,155.97,1183.0,Dormant
Zavaritzki Caldera,Russia,Kuril Is,46.918,151.952,612.0,Active
Aira,Japan,Kyushu-Japan,31.577,130.659,1117.0,Active
Asosan,Japan,Kyushu-Japan,32.885,131.085,1592.0,Active
Ata,Japan,Kyushu-Japan,31.22,130.57,924.0,Active
Fukue,Japan,Kyushu-Japan,32.657,128.849,315.0,Dormant
Kirishimayama,Japan,Kyushu-Japan,31.934,130.862,1700.0,Active
Kujusan,Japan,Kyushu-Japan,33.086,131.249,1791.0,Active
Unzendake,Japan,Kyushu-Japan,32.761,130.299,1483.0,Active
Yonemaru-Sumiyoshiike,Japan,Kyushu-Japan,31.771,130.592,40.0,Dormant
Yufu-Tsurumi,Japan,Kyushu-Japan,33.282,131.39,1584.0,Active
Agung,Indonesia,Lesser Sunda Is,-8.343,115.508,2997.0,Active
Batur,Indonesia,Lesser Sunda Is,-8.24,115.378,1711.0,Active
Buyan-Bratan,Indonesia,Lesser Sunda Is,-8.283,115.133,2244.0,Dormant
Ebulobo,Indonesia,Lesser Sunda Is,-8.817,121.191,2096.0,Active
Egon,Indonesia,Lesser Sunda Is,-8.676,122.455,1661.0,Active
Iliboleng,Indonesia,Lesser Sunda Is,-8.342,123.258,1659.0,Active
Ililabalekan,Indonesia,Lesser Sunda Is,-8.55,123.38,1018.0,Dormant
Ilimuda,Indonesia,Lesser Sunda Is,-8.479,122.761,881.0,Dormant
Iliwerung,Indonesia,Lesser Sunda Is,-8.532,123.573,583.0,Active
Inielika,Indonesia,Lesser Sunda Is,-8.73,120.98,1559.0,Active
Inierie,Indonesia,Lesser Sunda Is,-8.875,120.95,2245.0,Dormant
Iya,Indonesia,Lesser Sunda Is,-8.891,121.641,618.0,Active
Kelimutu,Indonesia,Lesser Sunda Is,-8.77,121.82,1639.0,Active
Leroboleng,Indonesia,Lesser Sunda Is,-8.365,122.833,1095.0,Active
Lewotobi,Indonesia,Lesser Sunda Is,-8.542,122.775,1703.0,Active
Lewotobi Perempuan,Indonesia,Lesser Sunda Is,-8.575,122.78,1703.0,Active
Lewotolok,Indonesia,Lesser Sunda Is,-8.274,123.508,1431.0,Active
Ndete Napu,Indonesia,Lesser Sunda Is,-8.72,121.78,750.0,Dormant
Paluweh,Indonesia,Lesser Sunda Is,-8.32,121.708,875.0,Active
Poco Leok,Indonesia,Lesser Sunda Is,-8.68,120.48,1675.0,Dormant
Ranakah,Indonesia,Lesser Sunda Is,-8.637,120.53,2288.0,Active
Rinjani,Indonesia,Lesser Sunda Is,-8.42,116.47,3726.0,Active
Sangeang Api,Indonesia,Lesser Sunda Is,-8.2,119.07,1912.0,Active
"Sano, Wai",Indonesia,Lesser Sunda Is,-8.735,120.007,1319.0,Dormant
Sirung,Indonesia,Lesser Sunda Is,-8.497,124.131,1347.0,Active
Sukaria Caldera,Indonesia,Lesser Sunda Is,-8.792,121.77,1500.0,Dormant
Tambora,Indonesia,Lesser Sunda Is,-8.25,118.0,2850.0,Active
"Tara, Batu",Indonesia,Lesser Sunda Is,-7.791,123.585,633.0,Active
Babuyan Claro,Philippines,Luzon-N of,19.524,121.95,1064.0,Active
Camiguin de Babuyanes,Philippines,Luzon-N of,18.83,121.86,712.0,Active
Didicas,Philippines,Luzon-N of,19.077,122.202,228.0,Active
Iraya,Philippines,Luzon-N of,20.469,122.01,1009.0,Active
Smith Volcano,Philippines,Luzon-N of,19.523,121.94,2090.0,Active
Ambalatungan Group,Philippines,Luzon-Philippines,17.32,121.1,2329.0,Dormant
Amorong,Philippines,Luzon-Philippines,15.828,120.805,376.0,Dormant
Arayat,Philippines,Luzon-Philippines,15.2,120.742,1026.0,Dormant
Banahaw,Philippines,Luzon-Philippines,14.07,121.48,2158.0,Dormant
Bulusan,Philippines,Luzon-Philippines,12.769,124.056,1535.0,Active
Cagua,Philippines,Luzon-Philippines,18.222,122.123,1133.0,Dormant
Iriga,Philippines,Luzon-Philippines,13.458,123.451,1138.0,Active
Isarog,Philippines,Luzon-Philippines,13.658,123.38,1966.0,Dormant
Laguna Caldera,Philippines,Luzon-Philippines,14.42,121.27,743.0,Dormant
Malinao,Philippines,Luzon-Philippines,13.422,123.597,1548.0,Dormant
Malindig,Philippines,Luzon-Philippines,13.24,122.018,1157.0,Dormant
Mariveles,Philippines,Luzon-Philippines,14.527,120.482,1388.0,Dormant
Masaraga,Philippines,Luzon-Philippines,13.31,123.598,1294.0,Dormant
Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462.0,Active
Natib,Philippines,Luzon-Philippines,14.72,120.4,1253.0,Dormant
Patoc,Philippines,Luzon-Philippines,17.147,120.98,1865.0,Dormant
Pinatubo,Philippines,Luzon-Philippines,15.13,120.35,1486.0,Active
Pocdol Mountains,Philippines,Luzon-Philippines,13.05,123.958,1102.0,Dormant
San Pablo Volcanic Field,Philippines,Luzon-Philippines,14.12,121.3,1090.0,Dormant
Santo Tomas,Philippines,Luzon-Philippines,16.33,120.55,2260.0,Dormant
Taal,Philippines,Luzon-Philippines,14.011,120.998,311.0,Active
Ambre-Bobaomby,Madagascar,Madagascar,-12.6,49.15,1475.0,Dormant
Ankaizina Field,Madagascar,Madagascar,-14.3,48.67,2878.0,Dormant
Itasy Volcanic Field,Madagascar,Madagascar,-19.033,46.7,1800.0,Dormant
Nosy-Be,Madagascar,Madagascar,-13.32,48.48,214.0,Dormant
Vakinankaratra,Madagascar,Madagascar,-19.85,46.942,2644.0,Dormant
Agrigan,United States,Mariana Is-C Pacific,18.77,145.67,965.0,Active
Alamagan,United States,Mariana Is-C Pacific,17.6,145.83,744.0,Active
Anatahan,United States,Mariana Is-C Pacific,16.35,145.67,790.0,Dormant
Asuncion,United States,Mariana Is-C Pacific,19.671,145.406,857.0,Active
Farallon de Pajaros,United States,Mariana Is-C Pacific,20.546,144.893,337.0,Active
Guguan,United States,Mariana Is-C Pacific,17.307,145.845,287.0,Active
Maug Islands,United States,Mariana Is-C Pacific,20.02,145.22,227.0,Dormant
Pagan,United States,Mariana Is-C Pacific,18.13,145.8,570.0,Active
Sarigan,United States,Mariana Is-C Pacific,16.708,145.78,538.0,Dormant
Zealandia Bank,United States,Mariana Is-C Pacific,16.88,145.85,0.0,Dormant
"Atlixcos, Los",Mexico,Mexico,19.81,-96.527,775.0,Dormant
Ceboruco,Mexico,Mexico,21.125,-104.508,2280.0,Active
Chichinautzin,Mexico,Mexico,19.139,-99.16,3938.0,Active
"Chichon, El",Mexico,Mexico,17.36,-93.23,1150.0,Active
Cofre de Perote,Mexico,Mexico,19.492,-97.15,4282.0,Active
Colima,Mexico,Mexico,19.514,-103.62,3850.0,Active
Comondu-La Purisima,Mexico,Mexico,26.0,-111.92,780.0,Dormant
Coronado,Mexico,Mexico,29.08,-113.513,440.0,Dormant
"Cumbres, Las",Mexico,Mexico,19.15,-97.27,3940.0,Dormant
Durango Volcanic Field,Mexico,Mexico,24.15,-104.45,2075.0,Dormant
"Gloria, La",Mexico,Mexico,19.33,-97.25,3500.0,Dormant
Guadalupe,Mexico,Mexico,29.07,-118.28,1100.0,Dormant
"Humeros, Los",Mexico,Mexico,19.68,-97.45,3150.0,Dormant
"Isabel, Isla",Mexico,Mexico,21.848,-105.886,95.0,Dormant
Iztaccihuatl,Mexico,Mexico,19.179,-98.642,5230.0,Dormant
Jaraguay Volcanic Field,Mexico,Mexico,29.33,-114.5,960.0,Dormant
Jocotitlan,Mexico,Mexico,19.73,-99.758,3900.0,Active
"Malinche, La",Mexico,Mexico,19.231,-98.032,4461.0,Dormant
Mascota Volcanic Field,Mexico,Mexico,20.567,-104.817,2525.0,Dormant
Michoacan-Guanajuato,Mexico,Mexico,19.85,-101.75,3860.0,Active
Naolinco Volcanic Field,Mexico,Mexico,19.67,-96.75,2000.0,Dormant
"Orizaba, Pico de",Mexico,Mexico,19.03,-97.27,5564.0,Active
Papayo,Mexico,Mexico,19.308,-98.7,3600.0,Dormant
Paricutin Volcanic Field,Mexico,Mexico,19.48,-102.25,3860.0,Active
Pinacate,Mexico,Mexico,31.85,-113.5,1183.0,Dormant
Popocatepetl,Mexico,Mexico,19.023,-98.622,5393.0,Active
"Prieto, Cerro",Mexico,Mexico,32.418,-115.305,223.0,Dormant
San Borja Volcanic Field,Mexico,Mexico,28.5,-113.75,1360.0,Dormant
"San Luis, Isla",Mexico,Mexico,29.973,-114.408,183.0,Dormant
San Martin,Mexico,Mexico,18.57,-95.2,1650.0,Active
San Quintin Volcanic Field,Mexico,Mexico,30.468,-115.996,260.0,Dormant
Sanganguey,Mexico,Mexico,21.45,-104.73,2340.0,Dormant
Serdan-Oriental,Mexico,Mexico,19.27,-97.47,3485.0,Dormant
Tacana,Mexico,Mexico,15.132,-92.109,4064.0,Active
"Toluca, Nevado de",Mexico,Mexico,19.108,-99.758,4680.0,Dormant
"Tortuga, Isla",Mexico,Mexico,27.438,-111.881,224.0,Dormant
Tres Virgenes,Mexico,Mexico,27.47,-112.591,1934.0,Dormant
Unnamed,Mexico,Mexico,28.0,-115.0,0.0,Dormant
Zitacuaro-Valle de Bravo,Mexico,Mexico,19.4,-100.25,3500.0,Active
Barcena,Mexico,Mexico-Is,19.3,-110.82,332.0,Active
Socorro,Mexico,Mexico-Is,18.78,-110.95,1050.0,Active
Apo,Philippines,Mindanao-Philippines,6.989,125.269,2938.0,Dormant
Balatocan,Philippines,Mindanao-Philippines,8.8,124.92,2450.0,Dormant
Balut,Philippines,Mindanao-Philippines,5.398,125.376,840.0,Dormant
Camiguin,Philippines,Mindanao-Philippines,9.203,124.673,1552.0,Active
Kalatungan,Philippines,Mindanao-Philippines,7.95,124.8,2824.0,Dormant
Latukan,Philippines,Mindanao-Philippines,7.65,124.47,2338.0,Dormant
Leonard Range,Philippines,Mindanao-Philippines,7.382,126.047,1080.0,Dormant
Makaturing,Philippines,Mindanao-Philippines,7.644,124.317,1818.0,Dormant
Malindang,Philippines,Mindanao-Philippines,8.22,123.63,2404.0,Dormant
Matutum,Philippines,Mindanao-Philippines,6.36,125.077,2262.0,Dormant
Melebingoy,Philippines,Mindanao-Philippines,6.113,124.892,1824.0,Active
Musuan,Philippines,Mindanao-Philippines,7.877,125.07,610.0,Active
Paco,Philippines,Mindanao-Philippines,9.593,125.52,524.0,Dormant
Ragang,Philippines,Mindanao-Philippines,7.691,124.507,2790.0,Active
Bus-Obo,Mongolia,Mongolia,47.12,109.08,1162.0,Dormant
Dariganga Volcanic Field,Mongolia,Mongolia,45.754,114.279,1778.0,Dormant
Khanuy Gol,Mongolia,Mongolia,48.67,102.75,1886.0,Dormant
Middle Gobi,Mongolia,Mongolia,45.28,106.7,1120.0,Dormant
Taryatu-Chulutu,Mongolia,Mongolia,48.133,99.95,2326.0,Dormant
Bamus,Papua New Guinea,New Britain-SW Pac,-5.2,151.23,2248.0,Active
Bola,Papua New Guinea,New Britain-SW Pac,-5.141,150.038,1116.0,Dormant
Dakataua,Papua New Guinea,New Britain-SW Pac,-5.046,150.1,408.0,Active
Garove,Papua New Guinea,New Britain-SW Pac,-4.687,149.511,368.0,Dormant
Garua Harbour,Papua New Guinea,New Britain-SW Pac,-5.3,150.07,565.0,Dormant
Hargy,Papua New Guinea,New Britain-SW Pac,-5.33,151.1,1148.0,Active
Krummel-Garbuna-Welcker,Papua New Guinea,New Britain-SW Pac,-5.416,150.027,564.0,Dormant
Langila,Papua New Guinea,New Britain-SW Pac,-5.525,148.42,1330.0,Active
Lolo,Papua New Guinea,New Britain-SW Pac,-5.466,150.509,796.0,Dormant
Lolobau,Papua New Guinea,New Britain-SW Pac,-4.916,151.162,878.0,Active
Mundua,Papua New Guinea,New Britain-SW Pac,-4.624,149.339,171.0,Dormant
Rabaul,Papua New Guinea,New Britain-SW Pac,-4.246,152.194,688.0,Active
Sulu Range,Papua New Guinea,New Britain-SW Pac,-5.5,150.942,610.0,Dormant
Tavui,Papua New Guinea,New Britain-SW Pac,-4.109,152.213,200.0,Dormant
Ulawun,Papua New Guinea,New Britain-SW Pac,-5.05,151.33,2334.0,Active
Unnamed,Papua New Guinea,New Britain-SW Pac,-5.2,148.57,0.0,Dormant
Unnamed,Papua New Guinea,New Britain-SW Pac,-4.75,150.85,0.0,Dormant
Witori,Papua New Guinea,New Britain-SW Pac,-5.575,150.516,724.0,Active
Crater Mountain,Papua New Guinea,New Guinea,-6.58,145.08,3233.0,Dormant
Doma Peaks,Papua New Guinea,New Guinea,-5.9,143.15,3568.0,Dormant
Hydrographers Range,Papua New Guinea,New Guinea,-9.0,148.37,1915.0,Dormant
Koranga,Papua New Guinea,New Guinea,-7.33,146.708,1500.0,Dormant
Lamington,Papua New Guinea,New Guinea,-8.95,148.15,1680.0,Active
Madilogo,Papua New Guinea,New Guinea,-9.2,147.57,850.0,Dormant
Managlase Plateau,Papua New Guinea,New Guinea,-9.08,148.33,1342.0,Dormant
Musa River,Papua New Guinea,New Guinea,-9.308,148.13,808.0,Dormant
Sessagara,Papua New Guinea,New Guinea,-9.549,149.151,493.0,Dormant
Sessagara Hills,Papua New Guinea,New Guinea,-9.554,149.128,493.0,Active
Victory,Papua New Guinea,New Guinea,-9.2,149.072,1832.0,Active
Yelia,Papua New Guinea,New Guinea,-7.05,145.858,3384.0,Dormant
Bam,Papua New Guinea,New Guinea-NE of,-3.613,144.818,685.0,Active
Blup Blup,Papua New Guinea,New Guinea-NE of,-3.507,144.605,402.0,Dormant
Boisa,Papua New Guinea,New Guinea-NE of,-3.994,144.963,240.0,Dormant
Kadovar,Papua New Guinea,New Guinea-NE of,-3.608,144.588,365.0,Dormant
Karkar,Papua New Guinea,New Guinea-NE of,-4.647,145.976,1839.0,Active
Long Island,Papua New Guinea,New Guinea-NE of,-5.358,147.12,1280.0,Active
Manam,Papua New Guinea,New Guinea-NE of,-4.08,145.037,1807.0,Active
Ritter Island,Papua New Guinea,New Guinea-NE of,-5.519,148.115,75.0,Active
Sakar,Papua New Guinea,New Guinea-NE of,-5.414,148.094,992.0,Dormant
Umboi,Papua New Guinea,New Guinea-NE of,-5.592,147.892,1335.0,Dormant
Ambitle,Papua New Guinea,New Ireland-SW Pacif,-4.08,153.65,450.0,Dormant
Lihir,Papua New Guinea,New Ireland-SW Pacif,-3.125,152.642,700.0,Dormant
Auckland Volcanic Field,New Zealand,New Zealand,-36.89,174.81,260.0,Active
Kaikohe-Bay of Islands,New Zealand,New Zealand,-35.3,173.9,388.0,Active
Maroa,New Zealand,New Zealand,-38.42,176.08,897.0,Active
Mayor Island,New Zealand,New Zealand,-37.28,176.25,355.0,Dormant
Ngauruhoe,New Zealand,New Zealand,-39.158,175.63,2291.0,Active
Okataina,New Zealand,New Zealand,-38.157,176.507,1111.0,Active
Reporoa,New Zealand,New Zealand,-38.42,176.33,592.0,Active
Ruapehu,New Zealand,New Zealand,-39.28,175.57,2797.0,Active
Taranaki,New Zealand,New Zealand,-39.3,174.07,2518.0,Active
Taupo,New Zealand,New Zealand,-38.781,175.893,760.0,Active
Tongariro,New Zealand,New Zealand,-39.157,175.632,1978.0,Active
Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294.0,Active
Whangarei,New Zealand,New Zealand,-35.75,174.27,397.0,Dormant
Apoyeque,Nicaragua,Nicaragua,12.242,-86.342,518.0,Dormant
"Azul, Volcan",Nicaragua,Nicaragua,12.53,-83.87,201.0,Dormant
"Ciguatepe, Cerro El",Nicaragua,Nicaragua,12.53,-86.142,603.0,Dormant
Concepcion,Nicaragua,Nicaragua,11.538,-85.622,1700.0,Active
Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872.0,Active
Esteli,Nicaragua,Nicaragua,13.17,-86.4,899.0,Dormant
Granada,Nicaragua,Nicaragua,11.9,-85.979,250.0,Dormant
"Lajas, Las",Nicaragua,Nicaragua,12.3,-85.73,926.0,Dormant
Las Pilas-El Hoyo Complex,Nicaragua,Nicaragua,12.492,-86.679,1088.0,Active
Maderas,Nicaragua,Nicaragua,11.446,-85.515,1394.0,Dormant
Masaya,Nicaragua,Nicaragua,11.984,-86.169,594.0,Active
Mombacho,Nicaragua,Nicaragua,11.826,-85.968,1344.0,Dormant
Momotombo,Nicaragua,Nicaragua,12.423,-86.539,1270.0,Active
"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728.0,Active
Nejapa-Miraflores,Nicaragua,Nicaragua,12.12,-86.32,360.0,Dormant
Rota,Nicaragua,Nicaragua,12.55,-86.75,832.0,Dormant
San Cristobal,Nicaragua,Nicaragua,12.702,-87.004,1745.0,Active
Telica,Nicaragua,Nicaragua,12.606,-86.84,1036.0,Active
Zapatera,Nicaragua,Nicaragua,11.73,-85.82,629.0,Dormant
Antipodes Island,New Zealand,Pacific-S,-49.683,178.767,402.0,Dormant
Baru,Panama,Panama,8.808,-82.543,3474.0,Active
"Valle, El",Panama,Panama,8.58,-80.17,1185.0,Dormant
Andahua-Orcopampa,Peru,Peru,-15.42,-72.33,4713.0,Dormant
"Auquihuato, Cerro",Peru,Peru,-15.07,-73.18,4980.0,Dormant
"Casiri, Nevados",Peru,Peru,-17.485,-69.789,5650.0,Dormant
"Chachani, Nevado",Peru,Peru,-16.191,-71.53,5626.0,Dormant
Coropuna,Peru,Peru,-15.52,-72.65,6377.0,Active
Huambo,Peru,Peru,-15.78,-72.08,4554.0,Dormant
Huaynaputina,Peru,Peru,-16.614,-70.854,4679.0,Active
Kimsachata-Oroscocha,Peru,Peru,-14.131,-71.363,3848.0,Dormant
"Misti, El",Peru,Peru,-16.294,-71.409,5822.0,Active
"Nicholson, Cerro",Peru,Peru,-16.261,-71.754,2525.0,Dormant
Sabancaya,Peru,Peru,-15.787,-71.857,5960.0,Active
Sara Sara,Peru,Peru,-15.33,-73.45,5522.0,Dormant
Ticsani,Peru,Peru,-16.759,-70.598,5382.0,Dormant
Tutupaca,Peru,Peru,-17.026,-70.372,5801.0,Active
Ubinas,Peru,Peru,-16.345,-70.897,5608.0,Active
Yucamane,Peru,Peru,-17.184,-70.196,5495.0,Active
Biliran,Philippines,Philippines-C,11.523,124.535,1301.0,Active
